pzn;categories;enabled;family;parent;groups;X_SELL-groups;X_SELL-products;X_SELL-product_models;UPSELL-groups;UPSELL-products;UPSELL-product_models;SUBSTITUTION-groups;SUBSTITUTION-products;SUBSTITUTION-product_models;PACK-groups;PACK-products;PACK-product_models;setzugehoerigkeit-groups;setzugehoerigkeit-products;setzugehoerigkeit-product_models;ean_gtin
00293516;all_articles,verbandsmaterial0kompressen0wundauflage;1;abda_artikel;;;;;;;;;;;;;;;;;;05000223451479
03025791;all_articles,hunde0futterergaenzung,hunde0schmerzen0gelenke,themenwelten0tierwelt0schmerzen0bewegung;1;abda_artikel;;;;;;;;;;;;;;;;;;04024075900153
04461666;all_articles,aromatherapie,primavera0aetherische0oele;1;abda_artikel;;;;;;;;;;;;;;;;;;04086900105393
08484807;all_articles,annemarie0boerlind0sun,nachhaltigkeit0ohne0mikroplastik0gesichtspflegeprodukte,nachhaltigkeit0ohne0mikroplastik0sonnenschutzprodukte,sonnenschutzmittel0lippen,sonnenschutzmittel0uv0schutz;1;abda_artikel;;;;;;;;;;;;;;;;;;04011061007767
03482399;all_articles,kind0und0familie0mamagesundheit0stillzeit0wund0brustwarzen0brustwarzenpads;1;abda_artikel;;;;;;;;;;;;;;;;;;07612367003100
04167116;all_articles,pflegebedarf0inkontinenzprodukte0inkontinenzhosen,tena0flex0inkontinezhosen0hueftbund;1;abda_artikel;;;;;;;;;;;;;;;;;;07322540079258
11351582;all_articles,blasenschwaeche,pflegebedarf0inkontinenzprodukte0inkontinenzhosen;1;abda_artikel;;;;;;;;;;;;;;;;;;04052199245829
11351671;all_articles,blasenschwaeche,pflegebedarf0inkontinenzprodukte0inkontinenzhosen;1;abda_artikel;;;;;;;;;;;;;;;;;;04052199246017
09727293;all_articles,koerperpflege0koerpercreme0bodylotion,koerperpflege0nach0hauttypen0trockene0haut;1;abda_artikel;;;;;;;;;;;;;;;;;;03574660527377
12543964;all_articles,pflegebedarf0inkontinenzprodukte0inkontinenzhosen;1;abda_artikel;;;;;;;;;;;;;;;;;;04052199265841
14343270;all_articles,schnupfen0und0sinusitis0produkte;1;abda_artikel;;;;;;;;;;;;;;;;;;04260442811824
05906521;all_articles,mund0und0zaehne0zahnpflegeprodukte0interdentalbuersten0curaprox;1;abda_artikel;;;;;;;;;;;;;;;;;;07612412012002
12576320;all_articles,kind0und0familie0mamagesundheit0stillzeit0schnuller0kirschform;1;abda_artikel;;;;;;;;;;;;;;;;;;04008600259947
